Product Name,Top Category,Category Name,Country,Brand,SKU_ARRAY,GTIN
Trophy Premium Lager Beer Can 24 X 50cl,Beverages,Beer,Nigeria,Trophy,"[
  ""LAM-064"",
  ""YGV-013"",
  ""MPL-013"",
  ""GLI-029"",
  ""GGV-024"",
  ""BOR-011"",
  ""OTS-013"",
  ""VTV-013"",
  ""OBA-044"",
  ""FMV-013"",
  ""TIR-004"",
  ""PGC-013"",
  ""MPV-013"",
  ""KAY-013"",
  ""GSE-002"",
  ""FNF-044"",
  ""BZG-044"",
  ""MNL-008"",
  ""MJV-001"",
  ""MBG-008"",
  ""OIC-008"",
  ""OAN-364"",
  ""TYN-008"",
  ""CIC-024"",
  ""DEM-024"",
  ""TGV-294"",
  ""EFF-018"",
  ""LIC-031"",
  ""MTU-125"",
  ""EDB-124"",
  ""MBS-042"",
  ""KDS-011"",
  ""NGO-180"",
  ""OOD-001"",
  ""HOS-002"",
  ""ANC-044"",
  ""HNE-044"",
  ""FAB-044"",
  ""FOM-016"",
  ""SIA-003"",
  ""JIB-013"",
  ""DKP-090"",
  ""DAE-058"",
  ""RBC-013"",
  ""MHV-013"",
  ""DDB-013"",
  ""AYA-013"",
  ""FLI-120"",
  ""RGV-125"",
  ""HPR-120""
]",''
Unik Baby Soap 72 X 100g,Toiletries,Bar Soap,Nigeria,UNIK,"[
  ""EIL-075""
]",''
Hawaii Papaya Calamansi Whitening Soap 48 X 200g,Toiletries,Bar Soap,Nigeria,Hawaii,"[
  ""EIL-070""
]",''
Mamador Low Fat Spread For Bread 24 X 450g,Food,Butter & Margarine,Nigeria,Mamador,"[
  ""EIL-047"",
  ""LBV-109"",
  ""OBV-011"",
  ""DGR-047"",
  ""PTV-002"",
  ""HJM-002""
]",''
Peak Yoghurt Drink Strawberry 10 X 1l,Food,Yoghurt,Nigeria,Peak,"[
  ""REE-012"",
  ""OWO-095""
]",''
Peak Full Cream Powder Sachet 210 X 14g,Food,Canned & Powdered Milk,Nigeria,Peak,"[
  ""OWO-026""
]",7451020050733
Peak 123 Years Growing Up Milk Pouch 12 X 360g,Food,Canned & Powdered Milk,Nigeria,Peak,"[
  ""OWO-020""
]",7452882140803
Nestlé Milo Sachets 200 X 20g,Beverages,Hot Chocolate,Nigeria,Milo,"[
  ""IFJ-058""
]",9310036000406
Limpo Clean Concentrated Dishwashing Liquid 12 X 1l,Home & Garden,Dishwasher Cleaners,Nigeria,Limpo,"[
  ""TCS-004""
]",''
Freshyo Drinking Yought Strawberry 12 X 375ml,Food,Yoghurt,Nigeria,FreshYo,"[
  ""SGV-006""
]",''
Vaseline Blue Seal 4 X(6 X 450ml),Toiletries,Lotions & Moisturisers,Nigeria,Vaseline,"[
  ""AJS-041""
]",''
Nestee Cerelac Junior 6 X (10 X 50),Baby And Toddler,Baby Cereal,Nigeria,Cerelac,"[
  ""AJS-018"",
  ""SSS-018""
]",''
Nan 2 Optipro 12 X 400g,Beverages,Non-Dairy Milk,Nigeria,Nan,"[
  ""AJS-009""
]",8712400768545
Sedoso Pure Vegetable Oil 12 X 1l,Food,Cooking Oils,Nigeria,Sedoso,"[
  ""TCS-001"",
  ""EBL-126""
]",''
Sunlight 2 In 1 Hand Washing Powder Luxurious Oud Fragrance 24 X 200g,Toiletries,Powdered Hand Soap,Nigeria,Sunlight,"[
  ""IFJ-081""
]",6006000109271
Fitsun Green Peas 12 X 400g,Brand Food,Peas,Nigeria,Fitsun Foods,"[
  ""FCL-004""
]",4897055660096
Laziz Instant Milk Custard 3 In 1 Breakfast 3 X 1.5kg,Food,Grain & Cereals,Nigeria,Laziz,"[
  ""STG-042"",
  ""CLL-027"",
  ""LBV-228"",
  ""ISL-022"",
  ""MNE-012"",
  ""FCU-054"",
  ""DNL-027"",
  ""MGR-004"",
  ""APS-009"",
  ""DGO-147"",
  ""EBF-147"",
  ""DFV-153"",
  ""FDA-005"",
  ""BSA-012""
]",''
Chi Exotic Multifruita Nectar 10 X 1l,Beverages,Juice,Nigeria,Chi Exotic,"[
  ""CLF-024"",
  ""GBE-011"",
  ""DIL-006"",
  ""DTS-135"",
  ""SEI-003"",
  ""OBA-011"",
  ""UAM-011"",
  ""MBA-011"",
  ""ANR-011"",
  ""MYJ-011"",
  ""ADB-011"",
  ""DON-011"",
  ""FNF-011"",
  ""BZG-011"",
  ""MTD-011"",
  ""OAN-331"",
  ""CFO-011"",
  ""MSM-011"",
  ""SCO-011"",
  ""LNL-011"",
  ""TGV-284"",
  ""HPR-013"",
  ""LES-008"",
  ""ISE-011"",
  ""MTU-005"",
  ""FIE-011"",
  ""GTS-011"",
  ""DGL-005"",
  ""MTS-011"",
  ""NGO-056"",
  ""OKN-026"",
  ""EWG-005"",
  ""TUC-006"",
  ""PUM-005"",
  ""OEM-005"",
  ""ABI-005"",
  ""BTE-007"",
  ""GVF-005"",
  ""KWE-005"",
  ""MDN-003"",
  ""LBE-024"",
  ""PSE-011"",
  ""CGT-011"",
  ""JVS-011"",
  ""LBS-055"",
  ""JCS-027"",
  ""VVW-047"",
  ""DTD-021"",
  ""BRL-009"",
  ""FLI-013"",
  ""RGV-005""
]",28810429892737
Magik Multi Purpose Detergent Powder 54 X 50g,Toiletries,Laundry Detergent,Nigeria,Magik,"[
  ""MAP-058"",
  ""RVN-007"",
  ""NDM-003"",
  ""RGL-014"",
  ""DEE-067""
]",''
Tiger Curry Masala 10 X 20 X 5g,Food,Herbs & Spices,Nigeria,Tiger,"[
  ""SUD-006"",
  ""MNI-006"",
  ""ECG-006"",
  ""MNG-008"",
  ""VIG-010"",
  ""CGE-008"",
  ""BAG-007"",
  ""OEN-213"",
  ""OVE-009"",
  ""SMV-008"",
  ""MIN-021"",
  ""OSF-006"",
  ""KST-020"",
  ""GCN-008"",
  ""DAL-008"",
  ""BFB-008"",
  ""ZSG-008"",
  ""NBC-038"",
  ""BAE-003"",
  ""PAV-011"",
  ""INL-020"",
  ""DWA-028""
]",''
Vicks Medicated Throat Lozenges - Blue 5 X 97g,Food,Candies,Nigeria,Vicks,"[
  ""TGR-002"",
  ""HPI-041"",
  ""AGT-046"",
  ""EPS-006"",
  ""OSF-003""
]",''
Laziz Real Mayonnaise 12 X 473g,Food,Mayonnaise,Nigeria,Laziz,"[
  ""CGS-023""
]",''
Molfix 3 Midi 4-9kg (10 X 9pcs),Baby And Toddler,Nappies,Nigeria,Molfix,"[
  ""MRL-006"",
  ""ADB-044"",
  ""FRE-035"",
  ""TDI-009"",
  ""IUA-048"",
  ""OOO-008"",
  ""GPT-004"",
  ""YBP-009""
]",8690536815457
Mama Joy Universal Detergent Solution 26 X 180g,Toiletries,Laundry Detergent,Nigeria,Mama Joy,"[
  ""TIE-244"",
  ""RVN-017"",
  ""AGS-036"",
  ""NGE-029"",
  ""DGA-013""
]",''
Dangote Salt Iodized Edible Salt 1 X 50kg,Food,Salt,Nigeria,DANGOTE SALT,"[
  ""EBL-166"",
  ""OEN-112"",
  ""AOM-036"",
  ""GBA-027"",
  ""AGP-048"",
  ""LBV-256"",
  ""HSF-068"",
  ""AGN-012"",
  ""OAS-013"",
  ""KTS-008"",
  ""OTV-060"",
  ""BUE-039"",
  ""VTT-006"",
  ""PTV-037"",
  ""HJM-037"",
  ""AKT-030"",
  ""FGE-259"",
  ""OGB-013"",
  ""WSE-259"",
  ""AME-261"",
  ""BBE-062"",
  ""WKS-029"",
  ""LBV-014"",
  ""BVS-261"",
  ""UBS-021"",
  ""DGO-162"",
  ""EBF-162"",
  ""ABE-057"",
  ""IGL-133"",
  ""MIS-023"",
  ""BND-007"",
  ""TIE-057"",
  ""DFV-168"",
  ""STS-035"",
  ""WTM-116""
]",''
Addmie Crayfish 40 X 16g,Food,Pasta & Noodles,Nigeria,Addmie,"[
  ""EBL-172"",
  ""OEN-093"",
  ""LBV-311"",
  ""BND-026"",
  ""AGM-040"",
  ""PTV-274""
]",''
Nutzy Extra Crunchy Peanut Butter 12 X 227g,Food,Nut Butters,Nigeria,Nutzy,"[
  ""AFL-003""
]",""""""
Wondergirl Deluxe Maternity Pads 24 X 140g,Toiletries,Feminine Sanitary Supplies,Nigeria,WONDERGIRL,"[
  ""FKS-012"",
  ""EPL-004""
]",9313616011875
Yale Banana Split Biscuit 96 X 10g,Food,Biscuits,Nigeria,YALE,"[
  ""AGT-030"",
  ""FUV-094"",
  ""SFG-094"",
  ""CEA-071"",
  ""RRE-037""
]",''
Kifi Quality Soap Gold 36 X 140g,Home & Garden,Laundry Supplies,Nigeria,KIFI,"[
  ""HSF-061"",
  ""YBS-023"",
  ""PRI-009"",
  ""OAB-009"",
  ""BBE-055""
]",''
Bravo Ultra White Detergent 12 X 500g,Toiletries,Laundry Detergent,Nigeria,Bravo,"[
  ""ABA-015""
]",''
Nescafe Classic Sachets 9 X 150 X 1.5g,Beverages,Powdered Beverage Mixes,Nigeria,Nescafe,"[
  ""IUA-008""
]",9300605124161
Ciroc Pineapple 10 X 1l,Beverages,Vodka,Nigeria,Ciroc,"[
  ""DAE-014""
]",''
Nescafe 3 In 1 Sachets 48 X 10 X 25g,Food,Pasta & Noodles,Nigeria,Nescafe,"[
  ""OPG-011""
]",8901073101841
Chikun Feed Chick Crumbs Heat Treated 1 X 25kg,Business & Industrial,Business & Industrial,Nigeria,CHIKUN,"[
  ""HAN-002"",
  ""HEE-002""
]",''
Magnate Tomato Mix 10 X 50 X 70gnor,Food,Tomato Paste,Nigeria,Magnate,"[
  ""FSL-051"",
  ""JBG-009""
]",''
King's Oil 12 X 1l,Food,Cooking Oils,Nigeria,Devon King's,"[
  ""HJM-060""
]",''
Sara 212 48 X 100ml,Toiletries,Perfume & Cologne,Nigeria,SARA 212,"[
  ""GBC-004""
]","```plaintext
```"
Arla Dano Cool Cow Instant Filled Milk Powder 12 X 400g,Food,Canned & Powdered Milk,Nigeria,Dano,"[
  ""FCU-060""
]",5740201175050
Ade-Bisi Poundo Yam Flour 4 X 4.5kg,Food,Grain & Cereals,Nigeria,Ade-bisi,"[
  ""OAS-011""
]",''
Kwik Detergent 48 X 130g,Toiletries,Laundry Detergent,Nigeria,KWIK,"[
  ""FIT-055""
]",''
Twisco Food Drink Powder Sachet 200 X 25g,Beverages,Hot Chocolate,Nigeria,Twisco,"[
  ""PBL-021""
]",''
Peak Filled Milk Powder 21 X (10 X 12g),Food,Canned & Powdered Milk,Nigeria,Peak,"[
  ""JJS-062""
]",''
Cussons Baby Soap 96 X 70g,Toiletries,Bar Soap,Nigeria,PZ Cussons,"[
  ""JJS-012""
]",8901216903262
Bebem Baby Diaper Size 5 - 4 X 35pcs,Baby And Toddler,Nappies,Nigeria,bebem,"[
  ""BGC-017""
]",8690536016668
Raid Multi-Purpose Insect Killer,Home & Garden,Household Insect Repellents,Nigeria,Raid,"[
  ""MMP-019""
]",''
Mini Crackers 72 X 21g,Food,Crackers,Nigeria,BELOXXI,"[
  ""MMG-001"",
  ""JAS-001""
]","Unfortunately, I don't have the GTIN for 'Mini Crackers 72 X 21g'."
Ariel Ankara & Colour 156 X 22g,Toiletries,Laundry Detergent,Nigeria,Ariel,"[
  ""MBN-091""
]",''
Good Mama Floral Fresh 6 X 850g,Toiletries,Laundry Detergent,Nigeria,Good Mama,"[
  ""MBN-083"",
  ""BAK-018"",
  ""MCC-004""
]",8906007291511
Baby Cereal Rice 50g X 10pcs,Baby And Toddler,Baby Food,Nigeria,Friska,"[
  ""FFR-008""
]",''
Molfix Air Dry Size 4 - 3 X 80pcs,Baby And Toddler,Nappies,Nigeria,Molfix,"[
  ""BGC-026""
]",8681221049345
